HHIDPN,RAGENDER,RARACEM,RAEDYRS,RAEVBRN
11230010.0,2.0,2.0,7.0,8.0
11241010.0,1.0,3.0,12.0,4.0
11241040.0,2.0,3.0,12.0,4.0
11248010.0,2.0,2.0,12.0,1.0
11253010.0,2.0,2.0,10.0,2.0
11256010.0,1.0,1.0,13.0,0.0
11256040.0,2.0,3.0,10.0,0.0
11264010.0,2.0,1.0,4.0,
11264020.0,1.0,1.0,0.0,
11277010.0,2.0,1.0,9.0,2.0
11323010.0,2.0,1.0,6.0,10.0
11332010.0,1.0,1.0,12.0,6.0
11332020.0,2.0,1.0,11.0,5.0
11333020.0,2.0,1.0,16.0,4.0
11333030.0,1.0,1.0,12.0,4.0
11341010.0,2.0,1.0,12.0,3.0
11341020.0,1.0,1.0,14.0,3.0
11345010.0,1.0,1.0,12.0,4.0
11345020.0,2.0,1.0,13.0,4.0
11347020.0,2.0,1.0,14.0,2.0
11347030.0,1.0,1.0,17.0,2.0
11368010.0,1.0,1.0,14.0,3.0
11368020.0,2.0,1.0,12.0,3.0
11377010.0,1.0,1.0,14.0,2.0
11377040.0,2.0,1.0,12.0,2.0
11378010.0,1.0,1.0,12.0,2.0
11378020.0,2.0,1.0,9.0,2.0
11379010.0,2.0,1.0,15.0,1.0
11379020.0,1.0,1.0,17.0,4.0
11380010.0,1.0,1.0,10.0,
11380040.0,2.0,1.0,6.0,2.0
11387020.0,2.0,1.0,10.0,5.0
11387030.0,1.0,1.0,14.0,5.0
11423010.0,2.0,3.0,12.0,2.0
11466010.0,1.0,2.0,9.0,
11466040.0,2.0,2.0,10.0,1.0
11467010.0,2.0,2.0,5.0,1.0
11469030.0,1.0,2.0,8.0,
11477010.0,1.0,2.0,9.0,3.0
11477011.0,2.0,2.0,13.0,3.0
11478010.0,1.0,2.0,11.0,4.0
11479010.0,2.0,2.0,14.0,5.0
11479040.0,1.0,2.0,8.0,0.0
11505010.0,2.0,2.0,9.0,7.0
11506010.0,2.0,2.0,14.0,3.0
11522010.0,2.0,2.0,15.0,0.0
11524010.0,2.0,1.0,12.0,
11524020.0,1.0,1.0,10.0,
11542010.0,1.0,2.0,8.0,2.0
11542040.0,2.0,2.0,12.0,3.0
11549020.0,2.0,1.0,12.0,0.0
11549030.0,1.0,1.0,10.0,0.0
11554020.0,1.0,1.0,13.0,2.0
11554030.0,2.0,1.0,8.0,
11563010.0,2.0,1.0,10.0,2.0
11570010.0,1.0,1.0,12.0,2.0
11570040.0,2.0,1.0,12.0,2.0
11575010.0,2.0,1.0,13.0,3.0
11575020.0,1.0,1.0,14.0,3.0
11582010.0,2.0,1.0,12.0,2.0
11582020.0,1.0,1.0,12.0,2.0
11590020.0,2.0,1.0,12.0,4.0
11590030.0,1.0,1.0,13.0,
11591010.0,1.0,1.0,17.0,2.0
11591020.0,2.0,1.0,14.0,2.0
11603010.0,2.0,1.0,16.0,
11603020.0,1.0,1.0,16.0,
11608010.0,2.0,1.0,12.0,3.0
11608040.0,1.0,1.0,10.0,4.0
11611010.0,1.0,1.0,17.0,5.0
11611011.0,2.0,1.0,16.0,0.0
11611040.0,2.0,1.0,13.0,3.0
11612010.0,1.0,1.0,10.0,1.0
11612040.0,2.0,1.0,10.0,3.0
11620010.0,1.0,1.0,14.0,4.0
11620040.0,2.0,1.0,16.0,3.0
11626010.0,1.0,1.0,11.0,4.0
11626011.0,2.0,3.0,2.0,2.0
11656010.0,1.0,1.0,17.0,0.0
11667020.0,2.0,1.0,9.0,2.0
11667030.0,1.0,1.0,9.0,2.0
11671010.0,1.0,1.0,17.0,3.0
11671040.0,2.0,1.0,17.0,3.0
11678010.0,2.0,1.0,13.0,3.0
11678040.0,1.0,1.0,12.0,2.0
11678041.0,2.0,1.0,14.0,2.0
11690010.0,2.0,2.0,12.0,4.0
11694010.0,2.0,2.0,12.0,3.0
11694020.0,1.0,2.0,12.0,3.0
11716010.0,1.0,2.0,10.0,6.0
11765010.0,1.0,2.0,12.0,3.0
11787010.0,2.0,2.0,14.0,4.0
11787040.0,1.0,2.0,6.0,6.0
11793010.0,2.0,2.0,5.0,6.0
11793040.0,1.0,2.0,12.0,5.0
11798010.0,2.0,2.0,9.0,5.0
11802010.0,1.0,2.0,14.0,1.0
11802011.0,2.0,2.0,14.0,2.0
11802020.0,2.0,2.0,12.0,2.0
11810010.0,1.0,2.0,12.0,2.0
11810020.0,2.0,2.0,12.0,
11818010.0,1.0,2.0,12.0,
11825010.0,1.0,2.0,8.0,3.0
11825040.0,2.0,3.0,10.0,6.0
11826010.0,1.0,1.0,14.0,0.0
11826011.0,1.0,2.0,12.0,1.0
11828010.0,2.0,2.0,17.0,2.0
11830010.0,1.0,2.0,12.0,2.0
11830040.0,2.0,2.0,15.0,2.0
11835010.0,1.0,2.0,12.0,7.0
11835020.0,2.0,2.0,14.0,0.0
11841010.0,1.0,2.0,11.0,4.0
11841040.0,2.0,2.0,12.0,
11854010.0,1.0,1.0,8.0,2.0
11854020.0,2.0,1.0,5.0,2.0
11856010.0,2.0,1.0,7.0,5.0
11859010.0,2.0,1.0,11.0,10.0
11862020.0,2.0,1.0,10.0,4.0
11862030.0,1.0,2.0,11.0,2.0
11863010.0,2.0,1.0,11.0,4.0
11876010.0,2.0,2.0,12.0,9.0
11876040.0,1.0,2.0,12.0,9.0
11878010.0,1.0,2.0,12.0,
11878040.0,2.0,2.0,12.0,2.0
11881010.0,1.0,2.0,17.0,4.0
11881011.0,2.0,3.0,15.0,1.0
11893010.0,1.0,1.0,12.0,
11902020.0,2.0,1.0,11.0,3.0
11902030.0,1.0,1.0,9.0,3.0
11902031.0,2.0,1.0,12.0,0.0
11907010.0,1.0,1.0,16.0,3.0
11907020.0,2.0,1.0,15.0,3.0
11911010.0,1.0,1.0,14.0,5.0
11911040.0,2.0,1.0,12.0,5.0
11927010.0,2.0,1.0,12.0,
11929020.0,2.0,1.0,13.0,
11930010.0,1.0,1.0,12.0,4.0
11930040.0,2.0,1.0,12.0,4.0
11932020.0,2.0,1.0,13.0,6.0
11932030.0,1.0,1.0,13.0,4.0
11933010.0,2.0,1.0,12.0,5.0
11933040.0,1.0,1.0,12.0,5.0
11936010.0,1.0,1.0,14.0,0.0
11936011.0,2.0,1.0,11.0,4.0
11936012.0,2.0,1.0,12.0,1.0
11936020.0,2.0,1.0,16.0,0.0
11937010.0,2.0,1.0,10.0,8.0
11948020.0,2.0,3.0,5.0,4.0
11948030.0,1.0,3.0,10.0,
11956010.0,2.0,1.0,10.0,4.0
11956040.0,1.0,1.0,11.0,1.0
11959010.0,1.0,1.0,12.0,
11959020.0,2.0,1.0,12.0,
11983010.0,2.0,1.0,17.0,3.0
11983040.0,1.0,1.0,17.0,1.0
11989010.0,1.0,2.0,10.0,
11993010.0,1.0,1.0,16.0,5.0
11993020.0,2.0,1.0,12.0,5.0
11999010.0,1.0,1.0,12.0,3.0
11999020.0,2.0,1.0,11.0,3.0
12005010.0,2.0,1.0,17.0,2.0
12005040.0,1.0,1.0,16.0,2.0
12007010.0,2.0,1.0,17.0,
12009010.0,2.0,1.0,17.0,1.0
12009040.0,1.0,1.0,17.0,1.0
12010010.0,2.0,1.0,17.0,3.0
12010020.0,1.0,1.0,17.0,3.0
12023010.0,1.0,1.0,17.0,1.0
12025010.0,2.0,1.0,12.0,
12033010.0,1.0,1.0,12.0,1.0
12033011.0,2.0,1.0,10.0,3.0
12045010.0,1.0,1.0,12.0,
12045011.0,2.0,1.0,12.0,2.0
12045020.0,2.0,1.0,12.0,
12052010.0,2.0,2.0,11.0,5.0
12054010.0,2.0,2.0,11.0,7.0
12054020.0,1.0,2.0,11.0,7.0
12068010.0,1.0,3.0,12.0,
12068020.0,2.0,2.0,12.0,2.0
12094010.0,1.0,2.0,14.0,7.0
12094011.0,2.0,2.0,11.0,3.0
12094040.0,2.0,2.0,12.0,
12104010.0,2.0,1.0,12.0,0.0
12104020.0,1.0,2.0,12.0,2.0
